PassengerId,Pclass,Age,Fare,MaleCheck,Sozinho,Familiares,Embarked,Survived
892,3,0.5882352941176471,-0.2810052139722155,1,1,1,2,0
893,3,1.5686274509803921,-0.3161764627911983,0,0,1,0,1
894,2,2.7450980392156863,-0.20218378165152598,1,1,0,2,0
895,3,0.0,-0.24566006003968008,1,1,1,0,0
896,3,-0.39215686274509803,-0.09190249013035463,0,0,0,0,1
897,3,-1.0196078431372548,-0.2218011267778882,1,1,0,0,0
898,3,0.23529411764705882,-0.2894883902430748,0,1,0,2,1
899,2,-0.0784313725490196,0.6169729270033286,1,0,4,0,0
900,3,-0.7058823529411765,-0.3064547427847935,0,1,2,1,1
901,3,-0.47058823529411764,0.41125590243498966,1,0,1,0,0
902,3,0.0,-0.2781803162740193,1,1,2,0,0
903,1,1.4901960784313726,0.48972528294043854,1,1,0,0,0
904,1,-0.3137254901960784,2.8763269543382433,0,0,0,0,1
905,2,2.823529411764706,0.48972528294043854,1,0,6,0,0
906,1,1.5686274509803921,1.981703909577824,0,0,0,0,1
907,2,-0.23529411764705882,0.5627145315749124,0,0,0,1,1
908,2,0.6274509803921569,-0.08925149754571109,1,1,5,2,0
909,3,-0.47058823529411764,-0.30663288948648154,1,1,0,1,0
910,3,0.0,-0.27694177253847385,0,0,1,0,1
911,3,1.411764705882353,-0.30663288948648154,0,1,0,1,1
912,1,2.196078431372549,1.9064157201739476,1,0,0,1,0
913,3,-1.411764705882353,-0.47859535567307115,1,0,0,0,0
914,1,0.0,0.7307874614413128,0,1,0,0,1
915,1,-0.47058823529411764,1.9903652325503713,1,0,0,1,1
916,1,1.6470588235294117,10.515779238062315,0,0,4,1,1
917,3,1.803921568627451,0.001942647366026781,1,0,6,0,0
918,1,-0.39215686274509803,2.0158147613629493,0,0,0,1,1
919,3,-0.35294117647058826,-0.30663288948648154,1,1,5,1,0
920,1,1.0980392156862746,0.6805967490347736,1,1,0,0,0
921,3,0.0,0.30645474278479357,1,0,0,1,0
922,2,1.803921568627451,0.48972528294043854,1,0,0,0,0
923,2,-0.23529411764705882,0.7230126303890703,1,0,1,0,0
